"Страница входа, ур. 1","Страница входа, ур. 2","Страница входа, ур. 3","Страница входа, ур. 4","Страница входа","Источник трафика (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_protrek/","Дзен","Не определено","1858","1858","0.0032292787944025836","2.8035522066738428","00:02:55","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_vintage/","Дзен","Не определено","1858","1858","0.0037674919268030137","2.7653390742734123","00:02:49","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/f/muzhskie/orient/","Google","Не определено","1849","1849","0.0048674959437533805","2.7679826933477556","00:02:59","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_vintage/","mail.ru","Не определено","1822","1822","0.0032930845225027437","2.7436882546652033","00:02:45","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_protrek/","mail.ru","Не определено","1740","1740","5.747126436781609E-4","2.811494252873563","00:02:47","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/f/zhenskie/tissot/","Google","Не определено","1714","1714","0.006417736289381564","2.7701283547257876","00:03:05","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/f/casio/zheltoe-zoloto/","Google","Не определено","1679","1679","0.004169148302561048","2.755211435378201","00:03:10","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/f/casio/nerzhaveyushchaya-stal/","Google","Не определено","1679","1679","0.005360333531864204","2.747468731387731","00:03:06","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/f/muzhskie/orient/","mail.ru","Не определено","1597","1597","0.0037570444583594235","2.780839073262367","00:03:00","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/f/muzhskie/orient/","Дзен","Не определено","1573","1573","0.0012714558169103624","2.7679593134138587","00:02:56","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/udaroprochnost/","Яндекс","Не определено","1544","1544","0.001295336787564767","2.5129533678756477","00:02:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/ehlektronnye/","Яндекс","Не определено","1527","1527","0.0019646365422396855","2.5193189259986903","00:02:00","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/f/zhenskie/tissot/","mail.ru","Не определено","1518","1518","0.003952569169960474","2.793148880105402","00:03:02","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/f/zhenskie/tissot/","Дзен","Не определено","1499","1499","0.0020013342228152103","2.818545697131421","00:03:14","0","0.0","0.0"
